Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 16,"12,237",89.70%,€ 0.00,"13,644",10,0.10%,"12,237","16,080",38,237,1.70%,€ 1.60,€ 1.17,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 44,"28,410",79.10%,€ 0.00,"35,914",1,0.00%,"28,410","37,549",60,471,1.30%,€ 44.21,€ 1.23,0.20%,€ 0.00,€ 0.09
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 35,845,52.70%,€ 0.04,"1,602",0,0.00%,"1,558","3,021",845,958,59.80%, € -   ,€ 21.57,28.00%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 18,"13,253",86.00%,€ 0.00,"15,415",8,0.10%,"13,253","18,753",45,283,1.80%,€ 2.19,€ 1.14,0.20%,€ 0.00,€ 0.06
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 46,"30,679",79.60%,€ 0.00,"38,554",5,0.00%,"30,679","40,736",63,440,1.10%,€ 9.19,€ 1.19,0.20%,€ 0.00,€ 0.10
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 39,900,54.20%,€ 0.04,"1,661",0,0.00%,"1,646","3,166",900,995,59.90%, € -   ,€ 23.52,28.40%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 20,"15,236",87.80%,€ 0.00,"17,354",8,0.00%,"15,236","21,365",44,280,1.60%,€ 2.51,€ 1.16,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 51,"32,459",76.70%,€ 0.00,"42,338",8,0.00%,"32,459","45,020",61,433,1.00%,€ 6.35,€ 1.20,0.10%,€ 0.00,€ 0.12
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 50,"29,279",77.00%,€ 0.00,"38,029",4,0.00%,"29,279","40,112",61,484,1.30%,€ 12.42,€ 1.31,0.20%,€ 0.00,€ 0.10
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 36,825,59.40%,€ 0.04,"1,389",0,0.00%,"1,389","2,652",825,913,65.70%, € -   ,€ 26.13,31.10%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 20,"14,212",89.00%,€ 0.00,"15,961",10,0.10%,"14,212","19,533",45,293,1.80%,€ 2.01,€ 1.26,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 34,808,62.20%,€ 0.04,"1,300",0,0.00%,"1,271","2,528",808,889,68.40%, € -   ,€ 26.32,32.00%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 20,"13,786",90.00%,€ 0.00,"15,324",7,0.00%,"13,786","18,458",47,265,1.70%,€ 2.84,€ 1.30,0.30%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 43,"25,125",77.50%,€ 0.00,"32,410",2,0.00%,"25,125","34,266",49,437,1.30%,€ 21.69,€ 1.34,0.10%,€ 0.00,€ 0.10
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 33,797,37.80%,€ 0.04,"2,106",0,0.00%,"2,101","3,793",797,995,47.20%, € -   ,€ 15.55,21.00%,€ 0.01,€ 0.03
