Retailer,Range,Product Name,Size,Product Type,Unit,Revenue,Δ Unit YTD %,Δ Revenue YTD %
Zalando,SENSIBIO,SENSIBIO GEL MOUSSANT,200 ml,Cleansing,131,"€ 2,871",13000.00%,23825%
DocMorris,ATODERM,ATODERM LEVRES,15 ml,Care,129,"€ 1,453",230.77%,408%
ApoDiscounter,PHOTODERM,PHOTODERM AQUAFLUIDE SPF 50+,40 ml,Sun Care,128,"€ 2,343",23.08%,44%
ApoDiscounter,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Care,127,"€ 6,261",-38.65%,67%
MPK,SENSIBIO,SENSIBIO H2O,250 ml,Cleansing,127,"€ 1,102",-17.53%,-24%
DocMorris,ATODERM,ATODERM MAINS & ONGLES,50 ml,Care,126,"€ 1,905",306.45%,1076%
MedPex,ATODERM,ATODERM HUILE DE DOUCHE,1 l,Care,126,"€ 4,726",200.00%,523%
MedPex,ATODERM,ATODERM STICK LEVRES,4 g,Care,124,"€ 1,250",552.63%,1337%
MPK,SEBIUM,SEBIUM GEL MOUSSANT,500 ml,Cleansing,124,"€ 1,820",-31.11%,-33%
DocMorris,SEBIUM,SEBIUM MAT CONTROL,30 ml,Care,123,"€ 2,470",272.73%,468%
ApoDiscounter,ATODERM,ATODERM INTENSIVE EYE,100 ml,Care,121,"€ 2,484",37.50%,50%
TNA,SENSIBIO,SENSIBIO DEFENSIVE,40 ml,Care,120,"€ 1,313",0.00%,0%
DocMorris,ATODERM,ATODERM INTENSIVE EYE,100 ml,Care,119,"€ 3,218",526.32%,804%
TNA,HYDRABIO,HYDRABIO GEL-CREAM,40 ml,Care,117,"€ 3,614",0.00%,0%
MedPex,PHOTODERM,PHOTODERM AR SPF 50+,30 ml,Sun Care,115,"€ 4,295",248.48%,650%
Shop Apotheke,ATODERM,ATODERM INTENSIVE GEL-CREAM,200 ml,Care,115,"€ 1,762",-16.67%,-15%
TNA,SEBIUM,SEBIUM H2O PUMP,500 ml,Cleansing,114,"€ 1,474",0.00%,0%
MedPex,SENSIBIO,SENSIBIO EYE,15 ml,Care,114,"€ 3,085",78.13%,247%
ApoDiscounter,PHOTODERM,PHOTODERM AUTOBRONZANT,150 ml,Sun Care,112,"€ 1,165",20.43%,-5%
MedPex,HYDRABIO,HYDRABIO TONIQUE,250 ml,Care,110,"€ 2,779",189.47%,499%
MedPex,SENSIBIO,SENSIBIO DEFENSIVE RICH,40 ml,Care,109,"€ 2,166",136.96%,214%
